Well,Day,Area (um2),Perimeter (um),Equivalent diameter (um),Equivalent volume (um3),Form factor,Solidity,Eccentricity,Normalized mean intensity,Normalized median intensity,Normalized sum intensity,Normalized upper quartile intensity,Normalized lower quartile intensity,Granularity,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Angular second moment,Organoid_index,Condition
A02,T-1,5534.154169,394.7211456,83.94226549,174206.0394,0.446354926,0.882921367,0.493090276,0.866600779,0.846153846,2660.464393,0.658536585,1.9,7.021542534,22.09735614,3.401281527,0.278152018,0.042561975,0.961407795,0.001821922,9_0,Control
A03,T-1,8460.452891,533.6619809,103.7891285,329288.637,0.373311138,0.862305593,0.792779479,1.256990094,1.225,6067.491184,0.93495935,2.833333333,7.278778626,21.16662141,3.478978092,0.260656635,0.03452635,0.977945473,0.001198264,10_0,EGTA 2.0
A03,T-1,3598.279018,293.9320728,67.68656542,91333.18055,0.523372315,0.919917592,0.564071276,0.759065003,0.775,1179.587014,0.552845528,1.833333333,20,6.774369303,2.000417097,0.381307963,0.064805325,0.964765561,0.004214408,11_0,EGTA 2.0
A03,T-1,6574.488848,410.8315824,91.49261822,225568.9493,0.489490438,0.935006839,0.374352947,1.237070237,1.25,4793.647167,0.926829268,2.866666667,5.040805008,31.89214114,4.202862496,0.228064211,0.033563413,0.956354314,0.001132067,12_0,EGTA 2.0
A03,T-1,6811.046709,439.0336381,93.12407858,237852.1683,0.444046171,0.908369158,0.581723325,0.7437255,0.6625,3072.33004,0.569105691,1.433333333,7.162509643,16.73083942,2.794757062,0.348396842,0.054837019,0.982195274,0.00301931,14_0,EGTA 2.0
A03,T-1,3485.199161,271.5708542,66.61451338,87061.81732,0.593842325,0.960318029,0.502705018,1.284089285,1.375,1992.90657,1.138211382,2.4,20,26.33418665,3.666008884,0.277450937,0.043693796,0.99134976,0.001913616,15_0,EGTA 2.0
A03,T-1,7159.644611,413.2933875,95.47744574,256344.2175,0.526725587,0.950379572,0.387158768,0.897834177,0.9,4349.108754,0.699186992,1.966666667,5.282243332,14.74302152,2.882101524,0.302702016,0.039276788,0.980056853,0.001549131,18_0,EGTA 2.0
A03,T-1,5167.099555,363.0375717,81.1107606,157165.2656,0.492667083,0.929352908,0.568584906,1.4407837,1.5,3753.241539,1.162601626,2.966666667,6.194594595,25.64555665,3.511916659,0.282747277,0.037491495,0.985572361,0.001410804,19_0,EGTA 2.0
A03,T-1,4649.011845,332.2712247,76.93702441,134130.4267,0.529157618,0.921760643,0.473406382,1.063447744,1.0625,2528.878734,0.829268293,2.366666667,8.444581471,34.81829726,4.379567489,0.225052893,0.035899082,0.953221282,0.001292779,23_0,EGTA 2.0
A03,T-1,10530.20419,524.6595183,115.7906404,457237.1575,0.480719284,0.930021122,0.684601781,1.104533015,1.1875,9685.650006,1.008130081,1.733333333,0.779697538,14.69368859,2.574449385,0.362058968,0.043736004,0.994264557,0.001923966,24_0,EGTA 2.0
A03,T-1,4347.985468,348.6891199,74.40448265,121316.1035,0.449387673,0.86354484,0.414109015,0.815792256,0.825,1448.031255,0.577235772,1.966666667,20,7.974944972,2.159560469,0.364080463,0.067079504,0.950627221,0.004522902,25_0,EGTA 2.0
A03,T-1,4589.742403,382.6595439,76.44502291,131573.6112,0.393888296,0.876706887,0.281575801,0.892512493,0.825,1670.783387,0.650406504,1.933333333,7.684346701,16.92266054,3.032573256,0.292208175,0.050348422,0.979491346,0.002542457,29_0,EGTA 2.0
A03,T-1,4358.123662,326.6353598,74.49117658,121740.6597,0.513313893,0.936696838,0.566404088,1.828884169,1.8625,3529.746447,1.260162602,4.733333333,2.090523182,8.98734584,2.202463129,0.368276099,0.062475521,0.963159469,0.003926902,33_0,EGTA 2.0
A03,T-1,5792.288186,413.2509358,85.87764769,186535.5316,0.426218537,0.896732131,0.620098774,0.750725044,0.7125,2302.47371,0.56097561,1.633333333,5.987518678,12.23680999,2.484354467,0.351453154,0.055992022,0.975024739,0.003148581,34_0,EGTA 2.0
A03,T-1,4688.78476,329.3145716,77.26542676,135855.3583,0.543310708,0.941830714,0.577583531,0.894600208,0.9,1985.117861,0.658536585,2.033333333,7.029118306,20.88368401,3.370503611,0.275172568,0.044144717,0.961971376,0.00195788,38_0,EGTA 2.0
A03,T-1,4486.020879,348.0193169,75.57631363,127138.8453,0.465440804,0.899786225,0.586898389,1.444312538,1.4875,2926.177202,1.081300813,3.433333333,20,24.07355267,3.654279559,0.252713403,0.041187267,0.970553022,0.001700472,39_0,EGTA 2.0
A03,T-1,5121.607658,365.601863,80.75291576,155094.2819,0.481503413,0.941013517,0.518662664,0.829493828,0.8125,1968.388853,0.601626016,1.9,6.319388576,22.71275816,3.364374611,0.291486964,0.04766705,0.944353566,0.002281975,42_0,EGTA 2.0
A03,T-1,6440.092789,400.5619828,90.5526411,218687.7791,0.50438543,0.931283362,0.421185922,1.478207772,1.625,6026.653087,1.12195122,3.766666667,1.362551802,11.0004201,2.225013996,0.40540828,0.058527647,0.994163675,0.003442277,45_0,EGTA 2.0
A03,T-1,4506.557221,340.0365674,75.74910471,128012.8781,0.489782774,0.908214585,0.577894162,1.268868939,1.2375,2469.218955,1.008130081,2.733333333,20,25.4444036,3.931563763,0.221351011,0.035584789,0.98311991,0.001270776,49_0,EGTA 2.0
A03,T-1,11638.64674,614.7265954,121.7324331,531300.2948,0.387033311,0.853499056,0.727923702,0.851000934,0.825,8218.116021,0.650406504,1.866666667,2.459706007,14.99606621,2.895916203,0.303185283,0.040888525,0.974067324,0.001681808,51_0,EGTA 2.0
A03,T-1,3103.327186,272.4031779,62.85919896,73152.24789,0.525548851,0.922280593,0.525610528,0.65080083,0.6625,613.0543819,0.447154472,1.633333333,20,3.313285217,1.36780739,0.491011579,0.10985599,0.94940246,0.012120771,52_0,EGTA 2.0
A03,T-1,5114.328955,389.0252462,80.69551332,154763.7751,0.424661559,0.885378696,0.420529219,0.731717574,0.7125,1718.072863,0.528455285,1.666666667,5.111488398,10.94760767,2.424849628,0.356508635,0.058373223,0.967360051,0.003423446,55_0,EGTA 2.0
A03,T-1,8428.218633,477.9576896,103.5912219,327408.55,0.463624898,0.913501634,0.58535539,0.739704606,0.725,4654.961088,0.569105691,1.566666667,2.868045079,12.48210962,2.596293649,0.326821956,0.042988394,0.976580418,0.001858176,56_0,EGTA 2.0
A03,T-1,9086.16143,599.8232611,107.5586354,366485.6715,0.317353802,0.817174386,0.88784849,0.909839455,0.9375,4127.941606,0.715447154,1.9,4.533652886,32.86381933,4.226106171,0.233476023,0.032761284,0.956776292,0.001077111,57_0,EGTA 2.0
A03,T-1,6445.291863,412.9434774,90.58918521,218952.6519,0.474975525,0.904065634,0.507592902,1.805495463,1.90625,7026.988344,1.300813008,4.5,4.988365078,20.39496151,2.823946094,0.372673485,0.056427373,0.973019167,0.003197576,7_0,EGTA 2.0
A04,T-1,11261.19398,534.1992804,119.7422127,505665.1066,0.49589269,0.948253218,0.608560313,0.907550329,0.879120879,9222.526446,0.781954887,1.685714286,3.022666125,35.11646793,4.355580602,0.232007505,0.027051653,0.973990982,0.000735633,10_0,EGTA 2.0
A04,T-1,7538.137188,489.1445161,97.96863968,276937.8923,0.395912782,0.887033128,0.781976657,0.985271379,0.934065934,4393.325081,0.781954887,1.971428571,8.597415779,33.04673059,4.273101286,0.225344183,0.03013582,0.972934464,0.000910407,11_0,EGTA 2.0
A04,T-1,7587.268436,475.0434882,98.28738581,279649.7925,0.422501811,0.890635013,0.639867978,0.7724959,0.736263736,3588.243456,0.609022556,1.542857143,7.844831679,40.48305734,4.749196877,0.209614452,0.031302372,0.950554002,0.00098461,12_0,EGTA 2.0
A04,T-1,4483.161389,340.6339015,75.55222277,127017.303,0.485532717,0.920719663,0.466615521,1.446852059,1.483516484,3044.176731,1.112781955,3.314285714,11.74717999,21.31370102,3.39670823,0.277457338,0.042623428,0.981525967,0.001823438,13_0,EGTA 2.0
A04,T-1,5509.198615,377.2110684,83.75278823,173029.0293,0.486552197,0.90902462,0.426101424,0.845373227,0.802197802,2827.773444,0.669172932,1.714285714,6.557050985,37.2693986,4.5178566,0.220205674,0.033408457,0.948655807,0.001120726,20_0,EGTA 2.0
A04,T-1,4122.605616,305.0464303,72.45042787,112006.7028,0.556736584,0.958016189,0.392843361,1.11336785,1.098901099,2330.278911,0.864661654,2.371428571,9.194640975,48.08531826,5.234921141,0.186131333,0.033043342,0.949761969,0.001093233,22_0,EGTA 2.0
